x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,7.51192,4.76991
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,3.0653,4.21965
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,3.62107,3.44189
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,5.39174,5.47144
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,4.95329,3.09074
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,4.54482,4.44986
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,6.376,13.32092
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,8.83435,5.73261
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,4.46335,4.05965
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,5.81191,15.60323
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,9.33107,-4.1639
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,10.92964,-12.34115
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,3.18658,-5.18894
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,5.11836,-11.19679
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,5.65648,7.18131
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,9.32878,-10.5778
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,5.17204,2.92759
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,4.49098,1.18502
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,4.21565,12.83276
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,5.02,26.27712
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,5.68801,7.23071
51.392,42.853,20.556,70.0,0.7342,0.6122,0.2937,8.0,5.12123,24.68997
-66.839,1.578,20.738,70.0,1.0,0.0,0.0,8.0,3.54093,21.70248
-66.839,1.578,20.738,70.0,0.0,1.0,0.0,8.0,5.24024,0.52933
-66.839,1.578,20.738,70.0,0.0,0.0,1.0,8.0,5.52963,3.39585
-66.839,1.578,20.738,70.0,-0.9548,0.0225,0.2963,8.0,4.34384,21.72871
34.697,-21.355,62.969,75.0,1.0,0.0,0.0,3.0,7.14281,0.41934
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,10.66437,0.41351
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,6.08788,-7.45065
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,6.18172,-4.75911
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,3.05369,0.48405
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,5.45732,-4.61791
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,7.22299,-1.11448
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,4.90977,-1.33471
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,4.38893,13.25115
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,3.25364,12.44276
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,4.95574,11.27939
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,2.83966,13.40173
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,4.24018,8.47922
