x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,3.33202,4.69091
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,3.31609,0.95289
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,3.25246,4.35115
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,1.73299,4.50533
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,2.60753,3.36528
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,3.75019,4.09227
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,3.73874,1.55218
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,1.52347,8.98138
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,2.8417,0.69363
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,3.58227,2.81552
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,4.38186,4.55999
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,2.62957,5.26865
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,1.37708,5.6366
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,1.84059,4.83967
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,4.66681,0.11379
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,1.86635,6.51594
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,2.95957,4.83544
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,3.67527,1.35307
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,2.65076,3.01936
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,3.5571,9.07944
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,3.2038,0.69098
51.392,42.853,20.556,70.0,0.7342,0.6122,0.2937,8.0,2.27881,6.4603
-66.839,1.578,20.738,70.0,1.0,0.0,0.0,8.0,4.976,-10.37846
-66.839,1.578,20.738,70.0,0.0,1.0,0.0,8.0,3.82037,9.65875
-66.839,1.578,20.738,70.0,0.0,0.0,1.0,8.0,2.87641,2.32333
-66.839,1.578,20.738,70.0,-0.9548,0.0225,0.2963,8.0,5.38354,-9.79759
34.697,-21.355,62.969,75.0,1.0,0.0,0.0,3.0,4.70152,-1.6878
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,3.86727,2.8106
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,2.88537,7.74926
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,4.21915,9.60768
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,3.84622,-2.01902
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,2.96015,1.31874
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,1.88693,4.38552
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,3.44469,1.09042
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,1.87105,3.70928
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,2.42874,6.40156
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,1.91448,2.54952
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,2.15721,6.28147
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,2.32087,8.42449
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,1.92845,6.89666
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,2.63793,4.03568
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,3.15819,2.28448
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,2.29463,1.15938
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,2.38076,2.09007
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,2.45041,2.28388
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,1.48285,1.22399
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,3.22265,3.53006
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,1.93056,4.14786
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,3.16536,5.33767
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,3.44602,4.41494
