x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,8.03296,11.84795
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,5.8764,17.4077
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,3.10376,3.64036
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,4.28946,2.47123
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,2.89044,10.07501
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,2.01656,6.84144
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,2.79481,9.0409
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,2.69583,4.34527
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,1.85513,9.1486
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,2.82634,6.84308
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,3.15935,11.2783
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,2.84422,11.95515
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,2.45065,11.62797
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,0.77872,10.06039
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,1.67922,8.05735
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,2.94123,4.29225
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,2.01451,9.64156
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,1.96528,4.63742
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,4.44663,13.46471
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,2.73283,9.68985
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,2.38697,8.71534
51.392,42.853,20.556,70.0,0.7342,0.6122,0.2937,8.0,2.83054,12.58212
-66.839,1.578,20.738,70.0,1.0,0.0,0.0,8.0,1.25992,12.35946
-66.839,1.578,20.738,70.0,0.0,1.0,0.0,8.0,2.04429,8.18707
-66.839,1.578,20.738,70.0,0.0,0.0,1.0,8.0,1.95748,8.58773
-66.839,1.578,20.738,70.0,-0.9548,0.0225,0.2963,8.0,0.94011,11.70623
34.697,-21.355,62.969,75.0,1.0,0.0,0.0,3.0,2.96412,5.89078
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,2.48264,6.3431
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,2.937,15.18072
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,3.46077,12.3399
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,1.45114,6.73113
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,1.67231,6.99748
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,1.38885,8.6293
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,0.89019,7.3818
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,2.93075,7.29069
