x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,4.3776,18.59506
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,4.93695,26.81783
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,2.44315,20.73148
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,5.16467,23.59456
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,2.71649,20.64316
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,3.38751,18.29988
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,3.214,24.5518
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,9.72346,27.54208
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,4.82416,23.50131
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,7.24155,12.42795
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,3.83302,21.87538
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,5.076,11.67045
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,3.55573,19.79089
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,4.00386,15.57649
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,2.8406,22.01936
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,4.73552,13.08754
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,3.52084,25.71816
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,5.62035,18.89128
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,3.92731,16.25113
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,4.93334,13.8925
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,4.28399,20.58292
51.392,42.853,20.556,70.0,0.7342,0.6122,0.2937,8.0,4.17842,9.38229
-66.839,1.578,20.738,70.0,1.0,0.0,0.0,8.0,1.81341,29.7902
-66.839,1.578,20.738,70.0,0.0,1.0,0.0,8.0,3.60817,18.71758
-66.839,1.578,20.738,70.0,0.0,0.0,1.0,8.0,8.70711,21.12663
-66.839,1.578,20.738,70.0,-0.9548,0.0225,0.2963,8.0,1.23686,24.3865
34.697,-21.355,62.969,75.0,1.0,0.0,0.0,3.0,2.95286,23.48935
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,3.23853,22.19993
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,2.27295,16.64339
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,2.64629,18.99712
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,2.3402,22.66729
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,2.41585,19.5745
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,4.18194,17.96934
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,1.44325,20.15754
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,2.87676,16.41823
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,2.81605,27.0973
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,2.38844,25.55962
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,2.71878,27.10128
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,4.61201,16.26044
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,4.15671,14.78974
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,3.44048,23.2633
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,3.95854,30.02018
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,2.71287,23.10124
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,4.6303,18.32183
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,3.18395,22.00687
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,3.65584,22.23808
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,2.61544,21.92623
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,4.52097,23.53934
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,2.0131,17.90506
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,3.15456,21.20089
