elec,dist,signed,absmed,absmax,cal_air,cal_filled,warned,residual
hyoid,14.539004845195652,-2.1072135018484373,2.1072135018484373,3.1541857039512475,,,False,-1.6005577821592825
buccal,19.60690979556882,-0.8562589604260902,0.9203302475351756,2.877509174414841,,,False,-0.3496032407369354
submental_lat,24.32390016486632,-0.7998970566866939,0.8890805513294326,2.6789541652524207,,,False,-0.29324133699753907
midjaw,36.87138616333258,-0.45345492700769463,0.7513005687707494,4.48619702044779,,,False,0.05320079268146016
cg10,48.121236454583816,-0.5204771808483444,0.8180426790239956,4.299703015740515,11.9,11.9,True,-0.013821461159189585
pre_tragus,58.13283119985343,-0.4928342585299653,0.7246020715422505,4.1087089244859705,,,False,0.013821461159189474
mastoid,65.91102659763055,-0.4615619645385299,0.7954749682461995,4.531500424907739,,,False,0.045093755150624915
above_ear,75.45701496367573,-0.32191514428097173,0.48430781401957507,4.273465877672079,,,False,0.18474057540818306
