electrode,condition,masseter,temporalis,medial_pterygoid,lateral_pterygoid,orbicularis_oris,buccinator,mentalis,depressor_anguli_oris,platysma,sternocleidomastoid
above_ear,fat_as_muscle,0.08960139050009683,0.10002531151964693,0.08611784099457293,0.10072986743937178,0.0653453291445181,0.057020690093547446,0.04982363074935972,0.06310196182247996,0.04578394368637988,0.046772874900689376
buccal,fat_as_muscle,0.12631090558277808,0.04774725495011217,0.10151896518825804,0.07980510559554976,0.18016581863557415,0.14393373859348418,0.26381340773381345,0.18660120329356772,0.15240665871754028,0.06287747186795935
cg01,fat_as_muscle,0.10857957269751743,0.11827796279657227,0.09477485333978686,0.1196788713179204,0.07654767250416612,0.06599687456624051,0.057894429099918855,0.07238467586551121,0.04981049445371885,0.04837173410573711
cg02,fat_as_muscle,0.0892433050521056,0.10260805066449492,0.08650591011278053,0.09908648238572972,0.06515182203634419,0.05707693104035515,0.04963993635887344,0.06309673980244743,0.04532190516101105,0.046219830439862206
cg03,fat_as_muscle,0.0790482284408239,0.09475466718693316,0.0844920064710965,0.09159624916436997,0.06144155153694071,0.053691479326798186,0.047502819969070006,0.060358099990854425,0.04403245501142261,0.04911841506217418
cg04,fat_as_muscle,0.07909064560548042,0.0903203794140838,0.09104178085150418,0.09331081390061635,0.06404732900017762,0.0552593883848697,0.050700409877876704,0.0635694755522907,0.04761677855642907,0.05813222226402276
cg05,fat_as_muscle,0.06823231465456928,0.07159356241811102,0.08328652832937342,0.08129051409332079,0.057501250794134665,0.048784693922602124,0.04563360280452261,0.05748946385197977,0.044777320331709336,0.05884270627507923
cg06,fat_as_muscle,0.07445429927522382,0.06738614000183982,0.09125330926856698,0.08836161936428248,0.06204913073702835,0.05118581987565126,0.04987330008721748,0.0630148639428445,0.048742542238842716,0.06950690696228976
cg07,fat_as_muscle,0.08293153503655246,0.06084476876604934,0.09452965503110212,0.08909250894724746,0.06462602320515165,0.053622401199108896,0.05241778058269206,0.06677605866927856,0.05260327860430786,0.07498920010550952
cg08,fat_as_muscle,0.10930739271169207,0.06791383675261367,0.11061939587412604,0.10501728174718479,0.07868553423548814,0.06694321413232523,0.06382588439902047,0.08209843740646429,0.06529107077054534,0.08648283330567341
cg09,fat_as_muscle,0.1223834411120219,0.07121091099107418,0.11324570723038896,0.11356738483346274,0.08568861974401216,0.07402617451805406,0.06888454411360623,0.08904353126599705,0.06909750598997938,0.08389884486265323
cg10,fat_as_muscle,0.13300835195271352,0.07516714879766015,0.11065585858346416,0.1269245654241532,0.0929118923763336,0.07966067884661437,0.0745097969897573,0.09438221071850325,0.0701551262716823,0.07070333350312072
earlobe_ipsi,fat_as_muscle,0.12271462083361265,0.074220517323106,0.11189108468792905,0.1186447064685148,0.0852694810965802,0.07362788913262322,0.06877947188432137,0.0883659573841023,0.0661984682102297,0.07540146121058758
hyoid,fat_as_muscle,0.08097476672842902,0.03207651286023011,0.13426775827882828,0.061728159544849004,0.07335263627083213,0.08460777881252342,0.10395619123582614,0.14494621731575227,0.22167365840445158,0.06502125425417159
mastoid,fat_as_muscle,0.08438967565584615,0.06865687756459217,0.0941600315393958,0.09261725705639244,0.06473768890916734,0.054165919900914544,0.051943181936827086,0.06629971685181649,0.05148599834106318,0.06640806178073119
mental,fat_as_muscle,0.1401964273151053,0.04439108610664518,0.11610654329061933,0.07182265378996933,0.3159937847749408,0.2195326825464462,0.7626206959663954,0.49440958033158144,0.19075892538506045,0.053199292641576156
midjaw,fat_as_muscle,0.1429411026677313,0.07061931384478308,0.10184110303164845,0.13222494226295303,0.12691190083554388,0.09675189775266554,0.10613545094796209,0.12421471523768332,0.08406494805899195,0.06602906100605827
post_lobule,fat_as_muscle,0.10673135203580472,0.0654963246204629,0.10712173519603085,0.10174578137933657,0.07646343163102698,0.06524561833966747,0.06209919367037843,0.07982675116584356,0.06346776227208595,0.08419190584867706
pre_tragus,fat_as_muscle,0.13118817462109794,0.09517978486499713,0.10046424582815493,0.139119889698971,0.09094254535720073,0.07363717394071229,0.06816360318184467,0.08464311724173063,0.05693535466505869,0.05039386591609886
submaxillary,fat_as_muscle,0.11694235002477316,0.04289248909040453,0.11997231654291761,0.07146263891339819,0.15101752859071102,0.14212216110217038,0.23569817406289853,0.21229883990866255,0.19090971196999523,0.06987409031319147
submental_lat,fat_as_muscle,0.1163621495507779,0.039588235333515416,0.11781784686467671,0.06639583488683809,0.21958454439227154,0.1746702109418416,0.5596541621229967,0.38395471163030526,0.18735629438197038,0.05558995075323145
submental_mid,fat_as_muscle,0.11749279692571835,0.037675779306827764,0.11720275636894341,0.06363812248607781,0.2262650254964261,0.17642003442408583,0.6011718804188954,0.4515251303773642,0.19402316208960813,0.0525181225091899
