electrode,lf_pervoxel_fan
above_ear,0.1668014423195834
buccal,0.11569130774047426
cg01,0.24260222929171935
cg02,0.17132999690911055
cg03,0.11235201893746335
cg04,0.07264761790250854
cg05,0.04743358951895646
cg06,0.04946963266049124
cg07,0.0747265163742412
cg08,0.1077494278935366
cg09,0.1377067661883931
cg10,0.18392627614164023
earlobe_ipsi,0.15223290539531925
hyoid,0.06187697413801669
mastoid,0.07634793041419582
mental,0.0779121254933198
midjaw,0.20522147374818484
post_lobule,0.10948015748453126
pre_tragus,0.23420252473564032
submaxillary,0.09650631648655617
submental_lat,0.08265304151030348
submental_mid,0.07424139544824772
