x_mm,y_mm,z_mm,r_mm,nx,ny,nz,dist_to_interface_mm,RDM_pct,MAG_pct
-52.721,-0.194,28.643,60.0,0.0,0.0,1.0,18.0,2.96586,6.84035
-52.721,-0.194,28.643,60.0,-0.8787,-0.0032,0.4774,18.0,2.88416,4.826
-63.758,19.554,21.273,70.0,1.0,0.0,0.0,8.0,3.3293,8.90843
-63.758,19.554,21.273,70.0,0.0,1.0,0.0,8.0,1.59335,7.68833
-63.758,19.554,21.273,70.0,0.0,0.0,1.0,8.0,2.37845,5.95498
-63.758,19.554,21.273,70.0,-0.9108,0.2793,0.3039,8.0,3.87763,8.4593
31.957,-54.367,-30.381,70.0,1.0,0.0,0.0,8.0,3.3315,5.50579
31.957,-54.367,-30.381,70.0,0.0,1.0,0.0,8.0,2.18551,7.71686
31.957,-54.367,-30.381,70.0,0.0,0.0,1.0,8.0,2.79599,3.01606
31.957,-54.367,-30.381,70.0,0.4565,-0.7767,-0.434,8.0,3.40467,6.70507
-14.269,-38.245,56.866,70.0,1.0,0.0,0.0,8.0,3.74726,6.75615
-14.269,-38.245,56.866,70.0,0.0,1.0,0.0,8.0,2.92051,5.68006
-14.269,-38.245,56.866,70.0,0.0,0.0,1.0,8.0,1.57611,4.99234
-14.269,-38.245,56.866,70.0,-0.2038,-0.5464,0.8124,8.0,2.62516,4.07763
-53.5,35.49,-27.896,70.0,1.0,0.0,0.0,8.0,4.24077,3.5522
-53.5,35.49,-27.896,70.0,0.0,1.0,0.0,8.0,1.86941,11.26032
-53.5,35.49,-27.896,70.0,0.0,0.0,1.0,8.0,2.79356,7.1931
-53.5,35.49,-27.896,70.0,-0.7643,0.507,-0.3985,8.0,3.46954,5.08631
51.392,42.853,20.556,70.0,1.0,0.0,0.0,8.0,2.40556,4.69972
51.392,42.853,20.556,70.0,0.0,1.0,0.0,8.0,3.33193,8.15311
51.392,42.853,20.556,70.0,0.0,0.0,1.0,8.0,2.56672,4.81738
51.392,42.853,20.556,70.0,0.7342,0.6122,0.2937,8.0,2.66712,5.83853
-66.839,1.578,20.738,70.0,1.0,0.0,0.0,8.0,4.43602,-5.60867
-66.839,1.578,20.738,70.0,0.0,1.0,0.0,8.0,5.13678,13.02681
-66.839,1.578,20.738,70.0,0.0,0.0,1.0,8.0,2.58703,4.32006
-66.839,1.578,20.738,70.0,-0.9548,0.0225,0.2963,8.0,4.83606,-5.38207
34.697,-21.355,62.969,75.0,1.0,0.0,0.0,3.0,4.52406,2.87211
34.697,-21.355,62.969,75.0,0.0,1.0,0.0,3.0,2.48017,4.54228
34.697,-21.355,62.969,75.0,0.0,0.0,1.0,3.0,1.3338,6.72865
34.697,-21.355,62.969,75.0,0.4626,-0.2847,0.8396,3.0,2.38381,9.30258
-56.655,-28.384,40.12,75.0,1.0,0.0,0.0,3.0,3.36081,1.67711
-56.655,-28.384,40.12,75.0,0.0,1.0,0.0,3.0,2.90258,2.10811
-56.655,-28.384,40.12,75.0,0.0,0.0,1.0,3.0,0.98306,5.53837
-56.655,-28.384,40.12,75.0,-0.7554,-0.3785,0.5349,3.0,3.00334,2.65892
1.829,74.648,7.028,75.0,1.0,0.0,0.0,3.0,1.92856,5.25217
1.829,74.648,7.028,75.0,0.0,1.0,0.0,3.0,2.06043,8.88735
1.829,74.648,7.028,75.0,0.0,0.0,1.0,3.0,1.31127,5.50089
1.829,74.648,7.028,75.0,0.0244,0.9953,0.0937,3.0,1.85772,8.60007
-36.063,-21.504,-62.145,75.0,1.0,0.0,0.0,3.0,1.85503,11.19093
-36.063,-21.504,-62.145,75.0,0.0,1.0,0.0,3.0,2.09697,8.1152
-36.063,-21.504,-62.145,75.0,0.0,0.0,1.0,3.0,2.05327,6.14992
-36.063,-21.504,-62.145,75.0,-0.4808,-0.2867,-0.8286,3.0,2.57161,4.32617
-62.277,30.728,28.327,75.0,1.0,0.0,0.0,3.0,1.86428,5.21365
-62.277,30.728,28.327,75.0,0.0,1.0,0.0,3.0,1.59781,5.0415
-62.277,30.728,28.327,75.0,0.0,0.0,1.0,3.0,1.73523,5.1393
-62.277,30.728,28.327,75.0,-0.8304,0.4097,0.3777,3.0,1.43436,5.14738
43.0,-25.065,56.105,75.0,1.0,0.0,0.0,3.0,2.64502,7.94547
43.0,-25.065,56.105,75.0,0.0,1.0,0.0,3.0,2.00287,7.21144
43.0,-25.065,56.105,75.0,0.0,0.0,1.0,3.0,1.29888,5.14133
43.0,-25.065,56.105,75.0,0.5733,-0.3342,0.7481,3.0,2.56777,6.32062
