electrode,condition,n_points,invariant_3_linearity,invariant_3_linearity_same_mesh,invariant_3_linearity_geometry,invariant_4_reciprocity,invariant_4_reciprocity_same_mesh,invariant_4_reciprocity_geometry
above_ear,iso,2000,0.0,True,identical geometry (2140977 nodes),7.49973026277339e-06,True,identical geometry (2140977 nodes)
submental_mid,iso,2000,0.006421414602711173,False,node counts differ: 2140980 vs 2140979,0.0069134890135787025,False,node counts differ: 2140980 vs 2140979
