muscle,construction,derived_median_dB,derived_lo_dB,derived_hi_dB,derived_spans_zero,published_uniform_lo_dB,published_uniform_hi_dB,published_spans_zero,verdict_changed_R2,pct_subsets_favouring_ear,n_subsets,insertion_R,insertion_A,insertion_S
lateral_pterygoid,pervoxel_fan_EXACT,-4.5191,-5.3274,-1.115,False,-3.6069,-1.5287,False,False,99.5,1001,48.531,20.657,-23.725
masseter,pervoxel_fan_EXACT,2.8635,-1.9875,5.2764,True,1.2011,2.2181,False,True,28.6,1001,37.594,35.831,-60.147
