electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
pre_tragus,buccinator,aniso,truncated,0.1382617614551453,-10.8474
pre_tragus,mentalis,aniso,truncated,0.0634536383640212,-22.9719
pre_tragus,depressor_anguli_oris,aniso,truncated,0.10936174866459,-15.2535
pre_tragus,platysma,aniso,truncated,0.0907950206609092,-11.5908
pre_tragus,sternocleidomastoid,aniso,truncated,0.147686927352388,2.344
submaxillary,masseter,aniso,truncated,0.154158766263703,-0.9192
submaxillary,temporalis,aniso,truncated,0.0670316327996019,-4.0173
submaxillary,medial_pterygoid,aniso,truncated,0.2660993334915612,4.4591
submaxillary,lateral_pterygoid,aniso,truncated,0.0871630606963828,-1.5445
submaxillary,orbicularis_oris,aniso,truncated,0.2181491763703549,-4.0471
submaxillary,buccinator,aniso,truncated,0.2902364921282915,-4.4064
submaxillary,mentalis,aniso,truncated,0.275481454138868,-10.2192
submaxillary,depressor_anguli_oris,aniso,truncated,0.3569716659320887,-4.9781
submaxillary,platysma,aniso,truncated,0.3199470351994931,-0.6505
submaxillary,sternocleidomastoid,aniso,truncated,0.1671001868153751,3.4167
submental_lat,masseter,aniso,truncated,0.1567499622950823,-0.7744
submental_lat,temporalis,aniso,truncated,0.0629076105056519,-4.5688
submental_lat,medial_pterygoid,aniso,truncated,0.2653346731956054,4.4341
submental_lat,lateral_pterygoid,aniso,truncated,0.0850748662239256,-1.7551
submental_lat,orbicularis_oris,aniso,truncated,0.2737517617554873,-2.0751
submental_lat,buccinator,aniso,truncated,0.3865090766009423,-1.9183
submental_lat,mentalis,aniso,truncated,0.6292941711867347,-3.0439
submental_lat,depressor_anguli_oris,aniso,truncated,0.5595192326085061,-1.0745
submental_lat,platysma,aniso,truncated,0.3377183348015553,-0.1809
submental_lat,sternocleidomastoid,aniso,truncated,0.1455778421106626,2.219
submental_mid,masseter,aniso,truncated,0.154099353941791,-0.9225
submental_mid,temporalis,aniso,truncated,0.0614932486967778,-4.7663
submental_mid,medial_pterygoid,aniso,truncated,0.2691088708458459,4.5568
submental_mid,lateral_pterygoid,aniso,truncated,0.0870299156042903,-1.5577
submental_mid,orbicularis_oris,aniso,truncated,0.2731835833788821,-2.0931
submental_mid,buccinator,aniso,truncated,0.400744150094886,-1.6041
submental_mid,mentalis,aniso,truncated,0.8106775736268548,-0.844
submental_mid,depressor_anguli_oris,aniso,truncated,0.601554268319695,-0.4453
submental_mid,platysma,aniso,truncated,0.3481904144620791,0.0843
submental_mid,sternocleidomastoid,aniso,truncated,0.1431537410633855,2.0732
