electrode,muscle,condition,mesh,lead_field,db_rel_best_jaw
cg07,orbicularis_oris,iso,truncated,0.0858569662025187,-12.1467
cg07,buccinator,iso,truncated,0.1056910706537825,-13.1807
cg07,mentalis,iso,truncated,0.0500513374343584,-25.0327
cg07,depressor_anguli_oris,iso,truncated,0.0862135267148554,-17.3193
cg07,platysma,iso,truncated,0.0817346250299592,-12.5039
cg07,sternocleidomastoid,iso,truncated,0.1319042261268324,1.3623
cg08,masseter,iso,truncated,0.1289296360136359,-2.4715
cg08,temporalis,iso,truncated,0.0950692658488677,-0.9821
cg08,medial_pterygoid,iso,truncated,0.1294989672099233,-1.7965
cg08,lateral_pterygoid,iso,truncated,0.0995470621497738,-0.3906
cg08,orbicularis_oris,iso,truncated,0.1056669044134669,-10.3434
cg08,buccinator,iso,truncated,0.1308198725342564,-11.328
cg08,mentalis,iso,truncated,0.0617076604387427,-23.2142
cg08,depressor_anguli_oris,iso,truncated,0.1071209948556858,-15.4333
cg08,platysma,iso,truncated,0.0997369733698933,-10.7749
cg08,sternocleidomastoid,iso,truncated,0.1510348473327163,2.5387
cg09,masseter,iso,truncated,0.138580817416856,-1.8445
cg09,temporalis,iso,truncated,0.0993657045897972,-0.5981
cg09,medial_pterygoid,iso,truncated,0.1357209555220107,-1.3888
cg09,lateral_pterygoid,iso,truncated,0.108155446450545,0.3298
cg09,orbicularis_oris,iso,truncated,0.1144498664620442,-9.6499
cg09,buccinator,iso,truncated,0.144423502222879,-10.4687
cg09,mentalis,iso,truncated,0.0675668474263282,-22.4263
cg09,depressor_anguli_oris,iso,truncated,0.1174256780886053,-14.6355
cg09,platysma,iso,truncated,0.1069387683550725,-10.1693
cg09,sternocleidomastoid,iso,truncated,0.1422339323594086,2.0172
cg10,masseter,iso,truncated,0.1346448382741041,-2.0947
cg10,temporalis,iso,truncated,0.1078908952060361,0.1168
cg10,medial_pterygoid,iso,truncated,0.1361517044821237,-1.3613
cg10,lateral_pterygoid,iso,truncated,0.114536835763208,0.8278
cg10,orbicularis_oris,iso,truncated,0.1253243261925468,-8.8615
cg10,buccinator,iso,truncated,0.1529473142786779,-9.9706
cg10,mentalis,iso,truncated,0.071798687201625,-21.8987
cg10,depressor_anguli_oris,iso,truncated,0.1250814086390834,-14.0869
cg10,platysma,iso,truncated,0.1108518743716906,-9.8572
cg10,sternocleidomastoid,iso,truncated,0.1193326967800972,0.4923
earlobe_ipsi,masseter,iso,truncated,0.1329773263511192,-2.203
earlobe_ipsi,temporalis,iso,truncated,0.1034140503207453,-0.2513
